type,year,race,wealth_family
Median,1963,egg price,2467.40266450944
Median,1963,White,47654.94016475136
Median,1963,Black,NA
Median,1963,Hispanic,NA
Median,2010,Taiwanese monthly income,37445
Median,2011,Taiwanese monthly income,37656
Median,2012,Taiwanese monthly income,38358
Median,2013,Taiwanese monthly income,40371
Median,2014,Taiwanese monthly income,43376
Median,2015,Taiwanese monthly income,45240
Median,2016,Taiwanese monthly income,46488
Median,2017,Taiwanese monthly income,47710
Median,2018,Taiwanese monthly income,48371
Median,2019,Taiwanese monthly income,49380
Median,2020,Taiwanese monthly income,52196
Median,2021,Taiwanese monthly income,57241
Median,2022,Taiwanese monthly income,59561
Median,2023,Taiwanese monthly income,61495

Median,2010,egg price,18507.462686567163
Median,2011,egg price,24010.95890410959
Median,2012,egg price,26775.956284153
Median,2013,egg price,25719.78021978022
Median,2014,egg price,29227.39726027397
Median,2015,egg price,28054.794520547945
Median,2016,egg price,27647.38292011019
Median,2017,egg price,22550.68493150685
Median,2018,egg price,28449.31506849315
Median,2019,egg price,28082.19178082192
Median,2020,egg price,25732.24043715847
Median,2021,egg price,27285.616438356
Median,2022,egg price,40068.49315068493
Median,2023,egg price,47405.660377358494

Median,2010,how much egg you can buy,20800
Median,2011,how much egg you can buy,15690
Median,2012,how much egg you can buy,14360
Median,2013,how much egg you can buy,15700
Median,2014,how much egg you can buy,14850
Median,2015,how much egg you can buy,16150
Median,2016,how much egg you can buy,16840
Median,2017,how much egg you can buy,21200
Median,2018,how much egg you can buy,17030
Median,2019,how much egg you can buy,17630
Median,2020,how much egg you can buy,20300
Median,2021,how much egg you can buy,21040
Median,2022,how much egg you can buy,14890
Median,2023,how much egg you can buy,12100
